"","Cog.1","Cog.2","Cog.3","Cog.4","Cog.5","Cog.6","Aff.1","Aff.2","Aff.3","Aff.4","Aff.5","Aff.6","Beh.1","Beh.2","Beh.3","Beh.4","Beh.5","Beh.6"
"189",5,6,5,4,6,6,4,2,2,5,5,4,6,4,6,6,6,6
"190",2,5,6,6,6,6,5,6,5,6,2,5,6,6,6,6,6,6
"191",5,5,5,4,5,5,4,3,4,5,4,4,5,5,5,5,5,5
"192",6,2,5,4,5,4,5,3,2,5,2,3,5,5,5,5,5,5
"193",1,6,6,6,6,6,5,3,5,6,4,6,6,3,4,5,6,6
"194",6,6,6,6,6,1,6,3,4,6,6,4,6,6,6,6,6,6
"195",5,4,5,5,4,4,3,4,3,4,4,3,4,4,5,4,4,4
"196",6,3,6,5,5,4,3,3,5,5,5,5,5,5,5,5,5,5
"197",6,3,6,4,6,6,3,5,3,6,3,6,6,6,6,6,6,6
"198",5,4,5,4,5,4,3,3,2,5,4,4,5,3,3,4,4,5
"199",5,5,5,5,5,5,2,2,2,5,5,5,5,5,5,5,5,5
"200",6,1,6,6,3,3,3,5,5,5,2,5,5,5,5,5,5,6
"201",5,3,5,4,5,3,2,3,2,5,2,5,5,5,4,5,5,5
"202",5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5
"203",2,5,3,3,5,4,2,5,3,5,5,5,4,4,4,4,4,5
"204",5,2,5,5,2,2,3,4,4,4,4,4,4,4,3,4,4,4
"205",5,4,4,4,5,4,3,3,2,4,4,3,5,5,5,5,5,5
"206",3,3,3,4,5,4,4,2,2,5,2,4,5,4,5,4,4,5
"207",5,4,6,4,6,5,2,2,2,5,6,2,6,4,2,5,5,6
"208",6,4,5,5,5,5,3,3,2,5,5,5,6,4,5,5,6,6
"209",4,5,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
"210",1,4,2,1,1,4,3,4,1,4,4,1,4,2,2,2,3,2
"211",5,3,5,3,6,5,4,5,5,5,5,5,5,4,3,5,4,5
"212",3,4,5,5,5,5,5,2,2,5,2,5,5,5,5,5,5,5
"213",6,3,6,6,6,6,6,6,6,6,4,6,6,6,1,6,6,6
"214",5,6,6,5,6,6,4,4,4,6,6,6,6,6,6,6,6,6
"215",6,3,6,2,6,4,4,4,3,5,5,3,6,5,4,6,6,6
"216",5,4,4,4,5,5,2,3,3,4,3,3,5,5,5,5,5,5
"217",6,5,6,6,5,5,3,3,3,5,5,5,6,6,6,6,6,6
"218",6,5,5,5,6,5,2,2,3,5,5,5,6,6,5,6,5,5
"219",4,4,2,4,6,5,5,3,3,5,1,5,6,6,3,6,6,6
"220",5,2,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
"221",5,5,5,5,5,5,5,2,2,5,5,2,5,5,2,5,5,5
"222",6,6,5,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"223",5,4,6,4,5,5,4,2,3,6,4,4,6,6,6,5,5,5
"224",5,4,5,5,5,3,5,3,4,5,5,5,5,5,5,5,5,5
"225",3,4,4,3,5,5,4,4,4,6,4,5,5,5,3,5,5,5
"226",6,4,6,6,6,5,5,5,4,4,5,5,6,6,2,2,3,6
"227",1,4,4,3,6,6,6,6,6,6,3,6,1,3,3,4,6,6
"228",5,3,5,3,4,4,4,5,4,5,4,4,3,3,4,3,3,3
"229",3,3,5,4,5,4,4,3,4,5,3,4,5,3,4,4,4,4
"230",2,5,5,2,5,5,5,5,3,5,3,5,5,4,5,5,5,5
"231",5,3,4,4,3,3,3,3,4,4,4,4,4,3,4,4,3,4
"232",1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"233",5,4,5,5,6,4,3,2,5,6,6,5,5,5,5,5,5,5
"234",5,4,6,6,6,5,6,3,3,6,6,5,6,6,5,6,6,6
"235",5,5,5,2,5,5,4,4,4,5,3,5,5,5,2,5,5,5
"236",5,3,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5
"237",5,2,5,5,2,2,3,3,3,3,3,3,5,5,5,5,5,5
"238",6,3,6,5,6,6,3,1,3,3,1,3,6,6,6,6,5,6
"239",4,3,5,3,6,5,5,5,3,5,3,5,5,3,2,5,5,5
"240",4,4,5,4,5,5,3,2,2,5,5,5,5,4,3,5,4,5
"241",4,3,4,4,6,5,5,5,5,5,5,5,5,5,4,4,4,4
"242",1,3,1,3,6,6,3,3,3,6,4,6,6,6,6,6,6,6
"243",5,6,6,5,6,4,3,3,3,5,3,4,5,5,3,5,4,4
"244",6,3,6,4,6,6,5,5,3,6,6,6,6,5,5,6,6,6
"245",5,3,5,3,5,5,3,4,5,6,5,5,5,5,2,5,5,5
"246",5,4,6,4,6,6,4,2,2,5,5,3,5,4,2,5,6,6
"247",6,2,6,6,1,1,5,6,6,6,6,6,6,6,6,6,6,6
