"","Male","Age","Chinese","EduF_Med","EduF_High","EduM_Med","EduM_High","EduS_Med","EduS_High"
"560",0,0,1,0,1,0,1,1,0
"561",0,0,1,0,1,0,1,0,1
"562",0,0,1,0,1,0,1,1,0
"563",0,0,1,0,1,0,1,0,1
"564",0,0,1,0,1,0,1,0,1
"565",0,1,1,0,1,0,1,0,1
"566",0,1,1,0,1,0,1,0,1
"567",0,0,1,0,1,0,1,1,0
"568",0,1,1,0,1,0,1,0,1
"569",0,1,1,0,1,0,1,1,0
"570",0,1,1,0,1,0,1,1,0
"571",1,0,1,0,1,0,1,1,0
"572",1,1,1,0,1,0,1,0,1
"573",1,1,1,0,1,0,1,0,1
"574",1,0,1,0,1,0,1,0,1
"575",1,0,1,0,1,0,1,0,1
"576",1,0,1,0,1,0,1,0,1
"577",1,0,1,0,1,0,1,0,1
"578",0,0,1,0,1,0,1,0,1
"579",0,0,1,0,1,0,1,0,1
"580",0,0,1,0,1,0,1,0,1
"581",0,0,1,0,1,0,1,0,1
"582",1,0,1,0,1,0,1,0,1
"583",0,0,1,0,1,0,1,0,1
"584",0,0,1,0,1,0,1,0,1
"585",1,0,1,0,1,0,1,0,1
"586",0,0,1,0,1,0,1,0,1
"587",0,0,1,0,1,0,1,0,1
"588",1,0,1,0,1,0,1,0,1
"589",1,0,1,0,1,0,1,0,1
"590",0,0,1,0,1,0,1,0,1
"591",0,1,1,0,1,0,1,1,0
"592",0,1,1,0,1,0,1,1,0
"593",0,1,1,0,1,0,1,1,0
"594",0,0,1,0,1,0,1,0,0
"595",0,0,1,0,1,0,1,0,0
"596",0,0,1,0,1,0,1,0,0
"597",0,0,1,0,1,0,1,0,0
"598",0,0,1,0,1,0,1,0,0
"599",0,0,1,0,1,0,1,0,0
"600",0,0,1,0,1,0,1,0,0
"601",0,0,1,0,1,0,1,0,0
"602",0,0,1,0,1,0,1,0,0
"603",0,0,1,0,1,0,1,0,0
"604",1,0,1,0,1,0,1,1,0
"605",0,0,1,1,0,0,0,0,1
"606",0,0,1,0,0,0,0,1,0
