Row	Gene ID	Gene Name	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value(%)
52	7246	g7245	7245	5.406967787481	1.98418381666667	0.366967937419701	3.956387724701	0
53	8104	g8103	8103	5.37576132208575	1.22729286666667	0.228301219703424	2.34127251233948	0
54	6179	g6178	6178	5.32117792161851	1.57679305	0.296324060805018	2.98306011223606	0
55	8262	g8261	8261	5.30923716726676	1.01119626666667	0.190459803321847	2.01558170530507	0
56	10671	g10670	10670	5.29415449011075	1.28508936666667	0.242737413323914	2.43697147905298	0
57	11076	g11075	11075	5.28097871539711	1.60881921666667	0.304644139537247	3.0500210860766	0
58	7911	g7910	7910	5.24489074852115	1.28785876666667	0.245545394254359	2.44165398673243	0
59	2687	g2686	2686	5.23281097982249	1.29251938333333	0.247002880157001	2.44955448797009	0
60	12586	g12585	12585	5.22217464085705	1.31847941666667	0.252477082315708	2.49403103311233	0
61	2852	g2851	2851	5.20832346912908	2.30575653333333	0.442706092853118	4.94426658757955	0
62	2823	g2822	2822	5.20807658135537	1.50877338333333	0.289698770700619	2.84567989165245	0
63	14705	g14704	14704	5.20135619328834	1.65078871666667	0.317376594742116	3.14005257891599	0
64	2641	g2640	2640	5.16877579085796	2.36177856666667	0.456931904619263	5.1400363662703	0
65	10315	g10314	10314	5.1565758049965	1.84638153333333	0.358063490804163	3.59597136681503	0
66	14619	g14618	14618	5.11611798414238	1.0152033	0.19843234717156	2.02118769225242	0
67	15992	g15991	15991	5.09023754071049	1.01716551666667	0.199826728817982	2.02393858996856	0
68	19785	g19784	19784	5.07847980923876	1.83115295	0.360571080083605	3.55821318474946	0
69	8799	g8798	8798	5.05759008351341	2.26961028333333	0.448753308563251	4.82192858238538	0
70	14554	g14553	14553	5.02758631562639	2.23686835	0.444918935165275	4.71372747066614	0
71	8905	g8904	8904	4.99531175238139	1.20884108333333	0.241995123278752	2.3115187791909	0
72	2832	g2831	2831	4.98109968731364	1.07416985	0.215649137224819	2.10551017874885	0
73	11747	g11746	11746	4.97660291654405	1.6793701	0.337453103685882	3.20288078433147	0
74	5620	g5619	5619	4.95936335793395	1.32479585	0.267130225068224	2.50497438326999	0
75	10768	g10767	10767	4.95282748770912	1.0626671	0.214557664816129	2.08878948466477	0
76	11077	g11076	11076	4.93103048856366	1.093913	0.22184267619863	2.13452195240373	0
77	4233	g4232	4232	4.90666296366504	1.2376848	0.252245733845047	2.35819790917709	0
78	1233	g1232	1232	4.8848683137208	1.24604596666667	0.255082816289383	2.37190457044776	0
79	7529	g7528	7528	4.8798777243519	3.47810453333333	0.712744197662302	11.1432992259697	0
80	5365	g5364	5364	4.78052906579804	1.6131216	0.337435789595124	3.05913038889608	0
81	10368	g10367	10367	4.76106914799331	1.19649268333333	0.25130756268004	2.29181832302088	0
82	11165	g11164	11164	4.65337644285358	2.2944983	0.4930824591945	4.90583359919231	0
83	11069	g11068	11068	4.65035450951429	1.51291293333333	0.325332817151471	2.85385677594074	0
84	3153	g3152	3152	4.64185847464379	1.05273463333333	0.226791626475454	2.07445826600641	0
85	10555	g10554	10554	4.61966157217415	1.73244693333333	0.375015984670494	3.32290934294219	0
86	10327	g10326	10326	4.60846964422586	1.1806896	0.256199929944062	2.26685105354226	0
87	12639	g12638	12638	4.59865652241791	1.07703203333334	0.234205800777451	2.10969147681467	0
88	7305	g7304	7304	4.59770068817543	1.57902026666667	0.343436942454228	2.98766888405363	0
89	1426	g1425	1425	4.58943250509293	1.83632351666667	0.400119952658391	3.57098857125102	0
90	12746	g12745	12745	4.58348439761577	1.68570536666666	0.367778140042003	3.21697643203189	0
91	9555	g9554	9554	4.5678516908177	1.32380256666667	0.289808570039123	2.5032503231627	0
